Product,Brand,Business Id,Product Line,Category,Commercial Name,Base NRC,Base Recurring,Final RC,Final NRC,Promo Allowance,Base Allowance,Allowance Type,Allowance Unit
NetSpan Weekend Warrior,GlobalTel,OFR_125653,Mobile Offers,Offers,Global Roamer - LTE,9.99,149.0,9.99,149.0,200.0,200.0,Data,GB
GlobalConnect Evening Special,NetCore,OFR_374755,Mobile Offers,Offers,Family Plan - 5G,9.99,99.99,9.99,99.99,120.0,120.0,Data,GB
QuantumSpeed Family Plan,SkyNet,OFR_995985,Mobile Offers,Offers,Unlimited Talk - Fiber,9.99,69.99,9.99,69.99,30.0,30.0,Data,GB
GlobalConnect Traveler's Pack,SwiftLink,OFR_503582,Mobile Offers,Offers,Business Pro - Fiber,,59.99,,59.99,15.0,15.0,Data,GB
NetSpan Traveler's Pack,OrbitNet,OFR_827503,Mobile Offers,Offers,Evening Special - 4G,9.99,2.99,9.99,2.99,500.0,500.0,Data,MB
FiberQuick Traveler's Pack,CommFast,OFR_190805,Mobile Offers,Offers,Data Saver - LTE,9.99,,9.99,,,,,
NetSpan Student Bundle,NetCore,OFR_197796,Mobile Offers,Offers,Global Roamer - 5G,,,,,,,,
FastFiber Business Pro,FiberTech,OFR_772770,Mobile Offers,Offers,Data Saver - LTE,,,,,,,,
HyperLink Family Plan,QuantumConnections,OFR_600205,Mobile Offers,Offers,Global Roamer - 4G,9.99,14.99,9.99,10.0,10.0,10.0,Data,GB
SpeedWave Evening Special,WaveCommunications,OFR_277242,Mobile Offers,Offers,Global Roamer - LTE,9.99,14.99,9.99,10.0,10.0,10.0,Data,GB
SpeedWave Business Pro,SkyNet,OFR_616655,Mobile Offers,Offers,Data Saver - LTE,9.99,9.99,9.99,9.99,5.0,5.0,Data,GB
QuantumSpeed Traveler's Pack,CommFast,OFR_304481,Mobile Offers,Offers,Evening Special - 4G,9.99,4.99,9.99,4.99,2.0,2.0,Data,GB
FiberQuick Traveler's Pack,WaveCommunications,OFR_457314,Mobile Offers,Offers,CityWide WiFi - 5G,,3.99,,3.99,1.0,1.0,Data,GB
HyperLink Family Plan,NetCore,OFR_424435,Mobile Offers,Offers,CityWide WiFi - Fiber,,6.99,,6.99,3.0,3.0,Data,GB
HyperLink Business Pro,CommFast,OFR_256451,Mobile Offers,Offers,Traveler's Pack - Fiber,9.99,3.99,9.99,0.0,400.0,400.0,Data,MB
QuantumSpeed Weekend Warrior,OrbitNet,OFR_099209,Mobile Offers,Offers,Global Roamer - Fiber,9.99,18.99,9.99,10.0,30.0,30.0,Data,GB
MegaNet Data Saver,PulseWireless,OFR_687023,Mobile Offers,Offers,Student Bundle - Fiber,,17.99,,17.99,16.0,16.0,Data,GB
NetSpan Family Plan,CommFast,OFR_130175,Mobile Offers,Offers,Global Roamer - LTE,9.99,13.99,9.99,10.0,20.0,20.0,Data,GB
HyperLink Family Plan,GlobalTel,OFR_936799,Mobile Offers,Offers,Evening Special - 5G,,12.99,,12.99,8.0,8.0,Data,GB
UltraNet Student Bundle,QuantumConnections,OFR_180141,Mobile Offers,Offers,Family Plan - Fiber,9.99,8.99,9.99,8.99,10.0,10.0,Data,GB
NetSpan Business Pro,OrbitNet,OFR_356199,Mobile Offers,Offers,Data Saver - Fiber,,7.99,,7.99,4.0,4.0,Data,GB
FiberQuick Data Saver,CommFast,OFR_626632,Mobile Offers,Offers,Weekend Warrior - 4G,9.99,14.99,9.99,10.0,5.0,5.0,Data,GB
UltraNet Traveler's Pack,NetCore,OFR_460277,Mobile Offers,Offers,Global Roamer - LTE,9.99,9.99,9.99,9.99,2.0,2.0,Data,GB
PulseNet CityWide WiFi,OrbitNet,001032,Mobile Offers,Offers,CityWide WiFi - 5G,19.99,18.99,19.99,18.99,15.0,15.0,Data,GB
FastFiber Unlimited Talk,CommFast,OFR_006808,Mobile Offers,Offers,Business Pro - 5G,,17.99,,17.99,12.0,12.0,Data,GB
SpeedWave Student Bundle,FiberTech,001030,Mobile Offers,Offers,Global Roamer - 5G,14.99,13.99,14.99,13.99,10.0,10.0,Data,GB
NetSpan Traveler's Pack,CommFast,OFR_186244,Mobile Offers,Offers,Weekend Warrior - 5G,,12.99,,12.99,6.0,6.0,Data,GB
FiberQuick Unlimited Talk,GlobalTel,001036,Mobile Offers,Offers,Evening Special - 4G,9.99,8.99,9.99,8.99,5.0,5.0,Data,GB
FiberQuick CityWide WiFi,OrbitNet,OFR_934953,Mobile Offers,Offers,Business Pro - 4G,,7.99,,7.99,3.0,3.0,Data,GB
